Entropy	Region	Response
10.84	R4	Exclusion
9.11	R1	Inclusion
9.51	R2	Inclusion
9.14	R3	Inclusion
8.68	R4	Inclusion
8.49	R1	Stable
11.05	R2	Stable
10.06	R3	Stable
11.93	R4	Stable
9.24	R1	Inclusion
10.59	R2	Inclusion
-0.53	R3	Inclusion
9.41	R4	Inclusion
8.15	R1	Exclusion
6.13	R2	Exclusion
9.07	R3	Exclusion
8.25	R4	Exclusion
6.03	R1	Exclusion
8.93	R2	Exclusion
7.68	R3	Exclusion
5.50	R4	Exclusion
9.22	R1	Stable
12.52	R2	Stable
8.38	R3	Stable
11.40	R4	Stable
10.03	R1	Inclusion
6.61	R2	Inclusion
7.93	R3	Inclusion
8.49	R4	Inclusion
6.64	R1	Stable
0.12	R2	Stable
9.10	R3	Stable
6.05	R4	Stable
8.31	R1	Inclusion
4.64	R2	Inclusion
4.74	R3	Inclusion
10.93	R4	Inclusion
8.47	R1	Stable
6.19	R2	Stable
7.93	R3	Stable
8.18	R4	Stable
5.97	R1	Exclusion
-4.05	R2	Exclusion
7.68	R3	Exclusion
9.83	R4	Exclusion
5.64	R1	Stable
-0.27	R2	Stable
8.27	R3	Stable
7.58	R4	Stable
10.20	R1	Exclusion
9.92	R2	Exclusion
8.59	R3	Exclusion
10.82	R4	Exclusion
9.11	R1	Exclusion
5.90	R2	Exclusion
5.99	R3	Exclusion
7.79	R4	Exclusion
10.47	R1	Stable
10.93	R2	Stable
8.85	R3	Stable
9.41	R4	Stable
9.79	R1	Exclusion
8.07	R2	Exclusion
8.28	R3	Exclusion
7.02	R4	Exclusion
8.55	R1	Stable
11.16	R2	Stable
4.74	R3	Stable
2.87	R4	Stable
8.73	R1	Stable
3.97	R2	Stable
8.14	R3	Stable
11.98	R4	Stable
7.43	R1	Exclusion
3.73	R2	Exclusion
8.55	R3	Exclusion
9.45	R4	Exclusion
9.82	R1	Exclusion
10.12	R2	Exclusion
9.14	R3	Exclusion
8.79	R4	Exclusion
10.47	R1	Exclusion
11.77	R2	Exclusion
8.54	R3	Exclusion
7.38	R4	Exclusion
10.08	R1	Inclusion
10.19	R2	Inclusion
9.24	R3	Inclusion
9.34	R4	Inclusion
9.11	R1	Exclusion
4.63	R2	Exclusion
8.28	R3	Exclusion
9.40	R4	Exclusion
9.16	R1	Exclusion
11.86	R2	Exclusion
0.12	R3	Exclusion
11.77	R4	Exclusion
11.08	R1	Exclusion
7.54	R2	Exclusion
10.86	R3	Exclusion
6.71	R4	Exclusion
6.43	R1	Exclusion
8.06	R2	Exclusion
7.80	R3	Exclusion
7.30	R4	Exclusion
3.77	R1	Exclusion
8.39	R2	Exclusion
7.52	R3	Exclusion
11.78	R4	Exclusion
9.99	R1	Exclusion
8.68	R2	Exclusion
9.25	R3	Exclusion
11.53	R4	Exclusion
11.01	R1	Inclusion
12.11	R2	Inclusion
8.65	R3	Inclusion
9.94	R4	Inclusion
9.09	R1	Exclusion
10.41	R2	Exclusion
8.56	R3	Exclusion
8.82	R4	Exclusion
10.51	R1	Inclusion
7.39	R2	Inclusion
5.69	R3	Inclusion
11.48	R4	Inclusion
8.28	R1	Stable
13.82	R2	Stable
6.42	R3	Stable
10.67	R4	Stable
8.88	R1	Exclusion
4.22	R2	Exclusion
3.10	R3	Exclusion
13.94	R4	Exclusion
9.16	R1	Inclusion
6.33	R2	Inclusion
7.04	R3	Inclusion
11.69	R4	Inclusion
10.10	R1	Exclusion
7.92	R2	Exclusion
6.05	R3	Exclusion
10.94	R4	Exclusion
6.56	R1	Inclusion
5.71	R2	Inclusion
6.33	R3	Inclusion
9.43	R4	Inclusion
8.17	R1	Exclusion
4.20	R2	Exclusion
6.92	R3	Exclusion
8.09	R4	Exclusion
6.65	R1	Exclusion
11.20	R2	Exclusion
8.88	R3	Exclusion
11.43	R4	Exclusion
9.82	R1	Exclusion
5.58	R2	Exclusion
9.49	R3	Exclusion
7.68	R4	Exclusion
8.63	R1	Exclusion
8.71	R2	Exclusion
7.30	R3	Exclusion
11.83	R4	Exclusion
6.21	R1	Exclusion
6.75	R2	Exclusion
9.81	R3	Exclusion
9.51	R4	Exclusion
6.62	R1	Exclusion
9.71	R2	Exclusion
9.35	R3	Exclusion
6.91	R4	Exclusion
8.10	R1	Exclusion
10.06	R2	Exclusion
8.59	R3	Exclusion
8.53	R4	Exclusion
9.60	R1	Stable
6.02	R2	Stable
8.37	R3	Stable
10.80	R4	Stable
8.56	R1	Stable
4.54	R2	Stable
10.07	R3	Stable
8.57	R4	Stable
7.43	R1	Stable
12.81	R2	Stable
8.88	R3	Stable
10.61	R4	Stable
9.40	R1	Stable
4.95	R2	Stable
6.64	R3	Stable
3.77	R4	Stable
8.73	R1	Exclusion
8.99	R2	Exclusion
8.34	R3	Exclusion
7.64	R4	Exclusion
9.79	R1	Stable
6.58	R2	Stable
9.48	R3	Stable
8.15	R4	Stable
11.00	R1	Exclusion
11.18	R2	Exclusion
8.07	R3	Exclusion
11.52	R4	Exclusion
7.66	R1	Inclusion
7.81	R2	Inclusion
7.76	R3	Inclusion
5.06	R4	Inclusion
8.70	R1	Exclusion
10.66	R2	Exclusion
8.07	R3	Exclusion
9.95	R4	Exclusion
8.38	R1	Exclusion
-0.73	R2	Exclusion
9.99	R3	Exclusion
13.04	R4	Exclusion
8.62	R1	Exclusion
4.40	R2	Exclusion
9.30	R3	Exclusion
6.46	R4	Exclusion
8.99	R1	Exclusion
6.59	R2	Exclusion
8.55	R3	Exclusion
9.23	R4	Exclusion
9.82	R1	Stable
7.58	R2	Stable
-0.66	R3	Stable
6.61	R4	Stable
10.29	R1	Inclusion
7.18	R2	Inclusion
7.07	R3	Inclusion
6.37	R4	Inclusion
5.71	R1	Stable
8.96	R2	Stable
0.89	R3	Stable
9.10	R4	Stable
8.24	R1	Inclusion
2.38	R2	Inclusion
8.33	R3	Inclusion
6.83	R4	Inclusion
8.17	R1	Exclusion
4.20	R2	Exclusion
9.88	R3	Exclusion
8.09	R4	Exclusion
8.30	R1	Exclusion
4.65	R2	Exclusion
8.40	R3	Exclusion
8.32	R4	Exclusion
8.99	R1	Inclusion
-3.24	R2	Inclusion
4.06	R3	Inclusion
9.75	R4	Inclusion
9.08	R1	Inclusion
9.96	R2	Inclusion
7.92	R3	Inclusion
9.17	R4	Inclusion
8.10	R1	Exclusion
7.84	R2	Exclusion
9.54	R3	Exclusion
10.59	R4	Exclusion
7.93	R1	Stable
7.97	R2	Stable
5.20	R3	Stable
10.86	R4	Stable
10.27	R1	Exclusion
9.91	R2	Exclusion
3.26	R3	Exclusion
7.17	R4	Exclusion
3.34	R1	Inclusion
12.31	R2	Inclusion
8.92	R3	Inclusion
12.10	R4	Inclusion
3.82	R1	Inclusion
13.27	R2	Inclusion
9.06	R3	Inclusion
9.28	R4	Inclusion
5.09	R1	Inclusion
11.00	R2	Inclusion
9.26	R3	Inclusion
5.36	R4	Inclusion
5.91	R1	Stable
9.76	R2	Stable
9.48	R3	Stable
10.48	R4	Stable
11.00	R1	Exclusion
-0.60	R2	Exclusion
8.56	R3	Exclusion
8.57	R4	Exclusion
10.57	R1	Stable
11.56	R2	Stable
4.51	R3	Stable
7.65	R4	Stable
9.48	R1	Stable
10.22	R2	Stable
8.91	R3	Stable
8.17	R4	Stable
7.81	R1	Stable
8.82	R2	Stable
10.20	R3	Stable
11.63	R4	Stable
7.10	R1	Exclusion
11.10	R2	Exclusion
8.73	R3	Exclusion
5.60	R4	Exclusion
7.92	R1	Exclusion
6.68	R2	Exclusion
7.33	R3	Exclusion
12.24	R4	Exclusion
10.67	R1	Exclusion
3.43	R2	Exclusion
9.46	R3	Exclusion
13.37	R4	Exclusion
8.72	R1	Exclusion
7.94	R2	Exclusion
6.74	R3	Exclusion
9.41	R4	Exclusion
9.01	R1	Inclusion
3.03	R2	Inclusion
9.79	R3	Inclusion
13.88	R4	Inclusion
9.80	R1	Stable
6.90	R2	Stable
8.51	R3	Stable
8.69	R4	Stable
2.81	R1	Exclusion
10.30	R2	Exclusion
10.16	R3	Exclusion
9.31	R4	Exclusion
10.47	R1	Inclusion
8.21	R2	Inclusion
3.86	R3	Inclusion
7.15	R4	Inclusion
10.03	R1	Inclusion
4.70	R2	Inclusion
5.30	R3	Inclusion
8.19	R4	Inclusion
10.28	R1	Stable
14.03	R2	Stable
5.73	R3	Stable
9.14	R4	Stable
7.82	R1	Inclusion
5.70	R2	Inclusion
8.85	R3	Inclusion
9.51	R4	Inclusion
7.54	R1	Inclusion
4.69	R2	Inclusion
8.38	R3	Inclusion
8.98	R4	Inclusion
10.86	R1	Inclusion
7.44	R2	Inclusion
6.64	R3	Inclusion
6.05	R4	Inclusion
9.88	R1	Inclusion
5.11	R2	Inclusion
8.40	R3	Inclusion
9.15	R4	Inclusion
9.73	R1	Exclusion
10.05	R2	Exclusion
6.84	R3	Exclusion
9.26	R4	Exclusion
10.24	R1	Exclusion
5.66	R2	Exclusion
7.66	R3	Exclusion
4.60	R4	Exclusion
8.94	R1	Exclusion
11.02	R2	Exclusion
8.70	R3	Exclusion
5.52	R4	Exclusion
7.82	R1	Stable
8.16	R2	Stable
8.92	R3	Stable
4.89	R4	Stable
9.88	R1	Inclusion
6.38	R2	Inclusion
0.70	R3	Inclusion
12.25	R4	Inclusion
7.64	R1	Exclusion
9.26	R2	Exclusion
7.35	R3	Exclusion
4.92	R4	Exclusion
8.31	R1	Exclusion
7.85	R2	Exclusion
8.59	R3	Exclusion
10.36	R4	Exclusion
7.66	R1	Exclusion
7.01	R2	Exclusion
6.43	R3	Exclusion
10.78	R4	Exclusion
8.68	R1	Exclusion
-0.72	R2	Exclusion
5.95	R3	Exclusion
6.01	R4	Exclusion
6.91	R1	Exclusion
7.61	R2	Exclusion
8.69	R3	Exclusion
7.88	R4	Exclusion
9.79	R1	Stable
6.28	R2	Stable
6.36	R3	Stable
7.40	R4	Stable
8.42	R1	Inclusion
11.15	R2	Inclusion
5.46	R3	Inclusion
11.45	R4	Inclusion
8.95	R1	Exclusion
6.76	R2	Exclusion
10.77	R3	Exclusion
9.96	R4	Exclusion
5.83	R1	Stable
2.88	R2	Stable
7.03	R3	Stable
7.88	R4	Stable
8.99	R1	Stable
11.35	R2	Stable
5.87	R3	Stable
8.43	R4	Stable
10.57	R1	Exclusion
5.74	R2	Exclusion
9.15	R3	Exclusion
10.21	R4	Exclusion
9.18	R1	Inclusion
8.26	R2	Inclusion
7.33	R3	Inclusion
10.65	R4	Inclusion
10.67	R1	Inclusion
10.21	R2	Inclusion
3.27	R3	Inclusion
9.16	R4	Inclusion
9.37	R1	Exclusion
4.10	R2	Exclusion
9.14	R3	Exclusion
8.24	R4	Exclusion
9.65	R1	Exclusion
10.04	R2	Exclusion
3.29	R3	Exclusion
9.69	R4	Exclusion
9.08	R1	Stable
12.47	R2	Stable
-2.41	R3	Stable
7.00	R4	Stable
11.01	R1	Stable
10.15	R2	Stable
2.93	R3	Stable
6.59	R4	Stable
10.86	R1	Exclusion
10.73	R2	Exclusion
6.84	R3	Exclusion
9.99	R4	Exclusion
5.45	R1	Inclusion
10.00	R2	Inclusion
6.54	R3	Inclusion
12.61	R4	Inclusion
10.15	R1	Inclusion
7.85	R2	Inclusion
6.84	R3	Inclusion
9.44	R4	Inclusion
10.22	R1	Inclusion
-0.10	R2	Inclusion
10.57	R3	Inclusion
7.75	R4	Inclusion
10.06	R1	Stable
12.07	R2	Stable
11.45	R3	Stable
10.26	R4	Stable
9.44	R1	Stable
6.08	R2	Stable
7.12	R3	Stable
10.09	R4	Stable
10.22	R1	Exclusion
7.14	R2	Exclusion
8.56	R3	Exclusion
6.82	R4	Exclusion
10.45	R1	Exclusion
6.98	R2	Exclusion
7.94	R3	Exclusion
6.09	R4	Exclusion
10.65	R1	Exclusion
7.43	R2	Exclusion
8.83	R3	Exclusion
8.00	R4	Exclusion
6.43	R1	Exclusion
6.67	R2	Exclusion
8.34	R3	Exclusion
8.47	R4	Exclusion
7.44	R1	Stable
14.16	R2	Stable
8.59	R3	Stable
10.86	R4	Stable
10.03	R1	Exclusion
10.40	R2	Exclusion
7.35	R3	Exclusion
13.15	R4	Exclusion
8.68	R1	Inclusion
5.44	R2	Inclusion
9.14	R3	Inclusion
3.26	R4	Inclusion
10.06	R1	Stable
-4.65	R2	Stable
8.24	R3	Stable
7.30	R4	Stable
8.56	R1	Inclusion
7.65	R2	Inclusion
2.72	R3	Inclusion
6.33	R4	Inclusion
9.09	R1	Exclusion
7.53	R2	Exclusion
6.59	R3	Exclusion
7.47	R4	Exclusion
10.28	R1	Stable
8.68	R2	Stable
7.10	R3	Stable
8.99	R4	Stable
8.24	R1	Exclusion
7.83	R2	Exclusion
9.30	R3	Exclusion
10.26	R4	Exclusion
8.05	R1	Stable
9.75	R2	Stable
9.08	R3	Stable
7.37	R4	Stable
11.08	R1	Inclusion
0.74	R2	Inclusion
7.03	R3	Inclusion
4.69	R4	Inclusion
9.84	R1	Inclusion
10.25	R2	Inclusion
-6.33	R3	Inclusion
12.45	R4	Inclusion
11.01	R1	Inclusion
9.84	R2	Inclusion
5.56	R3	Inclusion
10.93	R4	Inclusion
10.24	R1	Exclusion
4.90	R2	Exclusion
8.31	R3	Exclusion
7.13	R4	Exclusion
8.56	R1	Exclusion
9.14	R2	Exclusion
8.73	R3	Exclusion
7.62	R4	Exclusion
8.62	R1	Exclusion
8.45	R2	Exclusion
8.31	R3	Exclusion
8.85	R4	Exclusion
5.42	R1	Exclusion
5.14	R2	Exclusion
10.65	R3	Exclusion
7.36	R4	Exclusion
6.91	R1	Exclusion
8.36	R2	Exclusion
7.83	R3	Exclusion
7.88	R4	Exclusion
7.91	R1	Exclusion
5.34	R2	Exclusion
3.30	R3	Exclusion
7.35	R4	Exclusion
10.65	R1	Exclusion
6.17	R2	Exclusion
4.11	R3	Exclusion
6.39	R4	Exclusion
9.21	R1	Exclusion
8.39	R2	Exclusion
7.83	R3	Exclusion
9.33	R4	Exclusion
9.60	R1	Exclusion
9.31	R2	Exclusion
8.83	R3	Exclusion
6.64	R4	Exclusion
9.04	R1	Stable
3.89	R2	Stable
7.43	R3	Stable
11.17	R4	Stable
10.47	R1	Exclusion
6.34	R2	Exclusion
10.77	R3	Exclusion
6.16	R4	Exclusion
10.75	R1	Inclusion
6.10	R2	Inclusion
3.87	R3	Inclusion
8.42	R4	Inclusion
8.23	R1	Exclusion
10.59	R2	Exclusion
7.93	R3	Exclusion
8.71	R4	Exclusion
6.02	R1	Exclusion
5.35	R2	Exclusion
8.02	R3	Exclusion
5.74	R4	Exclusion
10.86	R1	Exclusion
-3.74	R2	Exclusion
3.54	R3	Exclusion
12.39	R4	Exclusion
10.20	R1	Stable
6.50	R2	Stable
10.77	R3	Stable
9.83	R4	Stable
9.06	R1	Exclusion
5.83	R2	Exclusion
6.29	R3	Exclusion
6.86	R4	Exclusion
10.57	R1	Exclusion
10.53	R2	Exclusion
8.73	R3	Exclusion
12.78	R4	Exclusion
8.60	R1	Exclusion
6.97	R2	Exclusion
7.83	R3	Exclusion
9.67	R4	Exclusion
4.81	R1	Exclusion
7.53	R2	Exclusion
8.60	R3	Exclusion
5.11	R4	Exclusion
8.66	R1	Stable
6.53	R2	Stable
7.23	R3	Stable
8.76	R4	Stable
9.45	R1	Inclusion
8.40	R2	Inclusion
2.03	R3	Inclusion
7.23	R4	Inclusion
9.40	R1	Stable
5.84	R2	Stable
9.26	R3	Stable
6.18	R4	Stable
8.41	R1	Exclusion
10.36	R2	Exclusion
7.21	R3	Exclusion
3.55	R4	Exclusion
8.41	R1	Stable
8.58	R2	Stable
6.77	R3	Stable
5.84	R4	Stable
8.30	R1	Stable
2.97	R2	Stable
9.27	R3	Stable
6.22	R4	Stable
10.03	R1	Exclusion
7.39	R2	Exclusion
8.82	R3	Exclusion
8.80	R4	Exclusion
8.54	R1	Stable
8.17	R2	Stable
5.06	R3	Stable
8.08	R4	Stable
7.33	R1	Exclusion
5.21	R2	Exclusion
7.20	R3	Exclusion
7.04	R4	Exclusion
6.69	R1	Exclusion
6.12	R2	Exclusion
7.44	R3	Exclusion
10.27	R4	Exclusion
9.89	R1	Stable
2.72	R2	Stable
9.08	R3	Stable
9.62	R4	Stable
1.14	R1	Inclusion
8.93	R2	Inclusion
0.78	R3	Inclusion
6.20	R4	Inclusion
9.22	R1	Exclusion
5.54	R2	Exclusion
5.29	R3	Exclusion
11.96	R4	Exclusion
9.35	R1	Exclusion
12.10	R2	Exclusion
9.60	R3	Exclusion
11.26	R4	Exclusion
8.69	R1	Inclusion
2.70	R2	Inclusion
4.16	R3	Inclusion
8.49	R4	Inclusion
8.59	R1	Exclusion
8.67	R2	Exclusion
8.39	R3	Exclusion
7.77	R4	Exclusion
8.41	R1	Exclusion
8.97	R2	Exclusion
6.51	R3	Exclusion
7.99	R4	Exclusion
9.21	R1	Exclusion
6.24	R2	Exclusion
7.83	R3	Exclusion
9.33	R4	Exclusion
11.37	R1	Exclusion
9.63	R2	Exclusion
7.39	R3	Exclusion
8.83	R4	Exclusion
7.43	R1	Stable
8.33	R2	Stable
10.57	R3	Stable
6.80	R4	Stable
7.33	R1	Exclusion
11.32	R2	Exclusion
4.89	R3	Exclusion
9.81	R4	Exclusion
8.92	R1	Exclusion
8.04	R2	Exclusion
4.34	R3	Exclusion
11.68	R4	Exclusion
6.59	R1	Inclusion
6.97	R2	Inclusion
4.07	R3	Inclusion
12.07	R4	Inclusion
6.52	R1	Exclusion
4.59	R2	Exclusion
1.74	R3	Exclusion
2.62	R4	Exclusion
7.83	R1	Stable
3.55	R2	Stable
11.01	R3	Stable
10.34	R4	Stable
7.26	R1	Exclusion
7.50	R2	Exclusion
6.37	R3	Exclusion
13.94	R4	Exclusion
5.09	R1	Inclusion
4.64	R2	Inclusion
9.26	R3	Inclusion
5.36	R4	Inclusion
10.07	R1	Exclusion
8.15	R2	Exclusion
7.13	R3	Exclusion
7.84	R4	Exclusion
9.88	R1	Exclusion
5.76	R2	Exclusion
7.68	R3	Exclusion
11.04	R4	Exclusion
9.16	R1	Inclusion
9.68	R2	Inclusion
8.92	R3	Inclusion
9.65	R4	Inclusion
9.43	R1	Stable
8.74	R2	Stable
7.63	R3	Stable
13.15	R4	Stable
8.68	R1	Exclusion
6.89	R2	Exclusion
7.59	R3	Exclusion
13.94	R4	Exclusion
10.29	R1	Stable
-7.14	R2	Stable
9.35	R3	Stable
3.04	R4	Stable
7.13	R1	Stable
12.52	R2	Stable
9.73	R3	Stable
12.43	R4	Stable
10.45	R1	Stable
8.14	R2	Stable
5.80	R3	Stable
9.57	R4	Stable
9.16	R1	Stable
6.24	R2	Stable
11.11	R3	Stable
9.84	R4	Stable
9.72	R1	Exclusion
4.72	R2	Exclusion
8.85	R3	Exclusion
10.72	R4	Exclusion
9.22	R1	Exclusion
8.20	R2	Exclusion
5.58	R3	Exclusion
8.26	R4	Exclusion
10.03	R1	Inclusion
4.19	R2	Inclusion
7.33	R3	Inclusion
11.19	R4	Inclusion
8.07	R1	Exclusion
8.95	R2	Exclusion
6.71	R3	Exclusion
11.19	R4	Exclusion
9.10	R1	Exclusion
8.00	R2	Exclusion
5.91	R3	Exclusion
10.17	R4	Exclusion
10.44	R1	Inclusion
8.41	R2	Inclusion
3.56	R3	Inclusion
9.62	R4	Inclusion
10.29	R1	Inclusion
2.59	R2	Inclusion
10.57	R3	Inclusion
10.24	R4	Inclusion
10.15	R1	Exclusion
6.77	R2	Exclusion
7.63	R3	Exclusion
6.04	R4	Exclusion
4.08	R1	Inclusion
8.96	R2	Inclusion
8.38	R3	Inclusion
5.61	R4	Inclusion
9.45	R1	Stable
8.68	R2	Stable
9.14	R3	Stable
10.70	R4	Stable
8.41	R1	Exclusion
12.35	R2	Exclusion
8.40	R3	Exclusion
9.99	R4	Exclusion
9.22	R1	Exclusion
10.95	R2	Exclusion
10.47	R3	Exclusion
13.14	R4	Exclusion
9.88	R1	Stable
8.82	R2	Stable
6.14	R3	Stable
10.35	R4	Stable
10.07	R1	Exclusion
10.72	R2	Exclusion
7.63	R3	Exclusion
7.28	R4	Exclusion
10.08	R1	Inclusion
4.37	R2	Inclusion
4.51	R3	Inclusion
8.62	R4	Inclusion
6.46	R1	Inclusion
5.59	R2	Inclusion
9.16	R3	Inclusion
11.90	R4	Inclusion
10.07	R1	Inclusion
8.94	R2	Inclusion
8.38	R3	Inclusion
8.62	R4	Inclusion
9.88	R1	Stable
5.23	R2	Stable
8.16	R3	Stable
10.35	R4	Stable
8.69	R1	Inclusion
2.70	R2	Inclusion
7.93	R3	Inclusion
8.49	R4	Inclusion
10.90	R1	Exclusion
9.92	R2	Exclusion
7.40	R3	Exclusion
8.49	R4	Exclusion
8.92	R1	Stable
8.47	R2	Stable
9.72	R3	Stable
12.61	R4	Stable
10.67	R1	Inclusion
7.88	R2	Inclusion
8.56	R3	Inclusion
7.49	R4	Inclusion
9.88	R1	Stable
10.40	R2	Stable
8.73	R3	Stable
13.28	R4	Stable
10.22	R1	Inclusion
6.27	R2	Inclusion
8.83	R3	Inclusion
9.19	R4	Inclusion
9.22	R1	Inclusion
5.73	R2	Inclusion
10.08	R3	Inclusion
8.74	R4	Inclusion
10.24	R1	Inclusion
5.09	R2	Inclusion
8.60	R3	Inclusion
10.18	R4	Inclusion
10.77	R1	Exclusion
8.45	R2	Exclusion
4.20	R3	Exclusion
9.41	R4	Exclusion
10.57	R1	Inclusion
10.56	R2	Inclusion
5.26	R3	Inclusion
9.32	R4	Inclusion
7.52	R1	Stable
8.60	R2	Stable
9.26	R3	Stable
3.78	R4	Stable
8.89	R1	Stable
12.00	R2	Stable
10.77	R3	Stable
12.85	R4	Stable
7.39	R1	Inclusion
7.18	R2	Inclusion
10.47	R3	Inclusion
8.83	R4	Inclusion
10.91	R1	Exclusion
7.72	R2	Exclusion
7.65	R3	Exclusion
7.43	R4	Exclusion
10.43	R1	Exclusion
8.60	R2	Exclusion
10.77	R3	Exclusion
8.88	R4	Exclusion
9.24	R1	Stable
12.48	R2	Stable
10.47	R3	Stable
9.27	R4	Stable
7.40	R1	Exclusion
7.70	R2	Exclusion
8.24	R3	Exclusion
10.49	R4	Exclusion
10.67	R1	Exclusion
9.20	R2	Exclusion
7.40	R3	Exclusion
8.60	R4	Exclusion
7.66	R1	Stable
0.81	R2	Stable
4.05	R3	Stable
11.23	R4	Stable
7.35	R1	Stable
6.17	R2	Stable
4.94	R3	Stable
8.95	R4	Stable
7.23	R1	Exclusion
6.77	R2	Exclusion
8.70	R3	Exclusion
9.32	R4	Exclusion
8.17	R1	Exclusion
6.95	R2	Exclusion
7.94	R3	Exclusion
9.05	R4	Exclusion
7.04	R1	Exclusion
8.66	R2	Exclusion
7.88	R3	Exclusion
5.88	R4	Exclusion
9.45	R1	Stable
7.88	R2	Stable
-0.37	R3	Stable
9.44	R4	Stable
7.65	R1	Exclusion
8.22	R2	Exclusion
5.91	R3	Exclusion
3.90	R4	Exclusion
8.66	R1	Inclusion
9.72	R2	Inclusion
8.62	R3	Inclusion
8.12	R4	Inclusion
8.83	R1	Exclusion
8.25	R2	Exclusion
10.45	R3	Exclusion
11.33	R4	Exclusion
9.30	R1	Exclusion
7.14	R2	Exclusion
5.97	R3	Exclusion
8.33	R4	Exclusion
9.67	R1	Exclusion
6.46	R2	Exclusion
4.34	R3	Exclusion
9.56	R4	Exclusion
6.41	R1	Inclusion
4.44	R2	Inclusion
9.06	R3	Inclusion
6.42	R4	Inclusion
9.07	R1	Exclusion
11.06	R2	Exclusion
8.31	R3	Exclusion
10.46	R4	Exclusion
0.92	R1	Exclusion
5.89	R2	Exclusion
7.94	R3	Exclusion
12.10	R4	Exclusion
10.52	R1	Inclusion
7.69	R2	Inclusion
7.51	R3	Inclusion
8.46	R4	Inclusion
8.39	R1	Stable
3.32	R2	Stable
4.18	R3	Stable
7.39	R4	Stable
8.38	R1	Inclusion
6.02	R2	Inclusion
6.43	R3	Inclusion
8.06	R4	Inclusion
8.89	R1	Stable
8.06	R2	Stable
7.93	R3	Stable
8.12	R4	Stable
9.60	R1	Stable
11.49	R2	Stable
7.93	R3	Stable
9.36	R4	Stable
8.70	R1	Exclusion
9.36	R2	Exclusion
10.52	R3	Exclusion
9.56	R4	Exclusion
9.49	R1	Exclusion
10.18	R2	Exclusion
6.86	R3	Exclusion
11.79	R4	Exclusion
-17.84	R1	Exclusion
8.48	R2	Exclusion
10.28	R3	Exclusion
9.78	R4	Exclusion
6.84	R1	Stable
9.57	R2	Stable
7.07	R3	Stable
8.88	R4	Stable
8.88	R1	Exclusion
3.47	R2	Exclusion
3.10	R3	Exclusion
13.94	R4	Exclusion
9.60	R1	Exclusion
13.21	R2	Exclusion
7.65	R3	Exclusion
11.38	R4	Exclusion
9.16	R1	Inclusion
5.88	R2	Inclusion
7.33	R3	Inclusion
8.22	R4	Inclusion
8.55	R1	Exclusion
10.48	R2	Exclusion
4.74	R3	Exclusion
12.42	R4	Exclusion
8.46	R1	Stable
12.41	R2	Stable
6.16	R3	Stable
8.71	R4	Stable
6.30	R1	Inclusion
9.05	R2	Inclusion
9.31	R3	Inclusion
11.79	R4	Inclusion
10.51	R1	Inclusion
11.12	R2	Inclusion
6.38	R3	Inclusion
5.87	R4	Inclusion
8.76	R1	Exclusion
4.77	R2	Exclusion
10.36	R3	Exclusion
12.02	R4	Exclusion
10.88	R1	Exclusion
8.54	R2	Exclusion
-10.58	R3	Exclusion
-1.57	R4	Exclusion
10.65	R1	Exclusion
11.53	R2	Exclusion
6.69	R3	Exclusion
10.70	R4	Exclusion
4.90	R1	Inclusion
9.70	R2	Inclusion
9.72	R3	Inclusion
8.94	R4	Inclusion
9.24	R1	Inclusion
7.84	R2	Inclusion
8.38	R3	Inclusion
9.76	R4	Inclusion
10.07	R1	Stable
8.20	R2	Stable
5.87	R3	Stable
8.55	R4	Stable
9.43	R1	Exclusion
8.05	R2	Exclusion
9.65	R3	Exclusion
-12.90	R4	Exclusion
9.65	R1	Exclusion
9.40	R2	Exclusion
7.07	R3	Exclusion
10.79	R4	Exclusion
9.06	R1	Inclusion
6.53	R2	Inclusion
10.08	R3	Inclusion
8.13	R4	Inclusion
8.40	R1	Inclusion
8.85	R2	Inclusion
6.38	R3	Inclusion
10.35	R4	Inclusion
9.33	R1	Stable
5.56	R2	Stable
8.16	R3	Stable
9.51	R4	Stable
7.93	R1	Exclusion
9.31	R2	Exclusion
9.54	R3	Exclusion
7.81	R4	Exclusion
11.45	R1	Exclusion
-1.31	R2	Exclusion
6.01	R3	Exclusion
10.08	R4	Exclusion
9.11	R1	Exclusion
12.24	R2	Exclusion
2.93	R3	Exclusion
7.03	R4	Exclusion
7.36	R1	Stable
3.01	R2	Stable
8.55	R3	Stable
10.41	R4	Stable
6.52	R1	Exclusion
4.59	R2	Exclusion
1.74	R3	Exclusion
2.62	R4	Exclusion
8.38	R1	Exclusion
9.33	R2	Exclusion
-3.12	R3	Exclusion
8.68	R4	Exclusion
10.88	R1	Exclusion
8.67	R2	Exclusion
8.07	R3	Exclusion
-1.57	R4	Exclusion
10.22	R1	Stable
8.94	R2	Stable
3.78	R3	Stable
4.47	R4	Stable
8.41	R1	Exclusion
8.39	R2	Exclusion
7.80	R3	Exclusion
9.52	R4	Exclusion
9.48	R1	Stable
11.07	R2	Stable
10.47	R3	Stable
8.17	R4	Stable
9.16	R1	Exclusion
11.86	R2	Exclusion
5.16	R3	Exclusion
11.77	R4	Exclusion
6.60	R1	Exclusion
4.73	R2	Exclusion
9.80	R3	Exclusion
7.46	R4	Exclusion
8.68	R1	Exclusion
7.58	R2	Exclusion
7.59	R3	Exclusion
13.94	R4	Exclusion
8.15	R1	Exclusion
10.01	R2	Exclusion
8.19	R3	Exclusion
9.77	R4	Exclusion
10.08	R1	Stable
